genres,id,original_language,overview,popularity,production_countries,title,vote_average,vote_count,year,director
"Action, Adventure, Thriller",9350,English,"A year after losing his friend in a tragic 4,000-foot fall, former ranger Gabe Walker and his partner, Hal, are called to return to the same peak to rescue a group of stranded climbers, only to learn the climbers are actually thieving hijackers who are looking for boxes full of money.",9.830853,"France, Italy, United States of America",Cliffhanger,6.1,600.0,1993,Renny Harlin
Drama,10997,Chinese,"Abandoned by his prostitute mother in 1920, Douzi was raised by a theater troupe. There he meets Shitou and over the following years the two develop an act entitled, ""Farewell My Concubine,"" that brings them fame and fortune. When Shitou marries Juxian, Doutzi becomes jealous, the beginnings of the acting duo's explosive breakup and tragic fall take root.",4.875827,"China, Hong Kong",Farewell My Concubine,7.8,98.0,1993,Chen Kaige
Comedy,20239,English,"Chronicling the controversial career of bad boys N.W.H. (Niggaz With Hats), this uproarious 'mockumentary' lampoons all of hardcore rap's hot-button issues. This underground laugh riot recounts the rise, fall and resurrection of a clueless bunch of would-be rappers, Ice Cold, Tone-Def &amp; Tasty Taste performing as N.W.H.",0.985441,"United Kingdom, United States of America",Fear of a Black Hat,5.8,11.0,1994,Rusty Cundieff
"Comedy, Romance, Thriller, Foreign, Mystery",25440,English,Scandal and mystery reign following the arrival of Edwina in a small Irish town populated entirely by widows. Edwina quickly falls out with the locals while also falling in with the son of the community's leader,0.409427,"United Kingdom, Ireland",Widows' Peak,4.3,3.0,1994,John Irvin
"Drama, Crime, Thriller",13815,English,"Michael is a 12-year-old drug pusher who lives in a crowded house with his cousins and aunt. His father has become a street bum,but still meets with Fresh on occasion to play chess. Fresh is rather quiet in a crazy world. Fresh's sister is a junkie who sleeps with the dealers that Fresh sells for. As the story progresses Fresh realizes that he doesn't want to sell drugs anymore - he wants revenge.",3.970215,"France, United States of America",Fresh,7.6,56.0,1994,Boaz Yakin
"Action, Drama, Thriller",2087,English,"Doc McCoy is put in prison because his partners chickened out and flew off without him after exchanging a prisoner with a lot of money. Doc knows Jack Benyon, a rich ""business""-man, is up to something big, so he tells his wife (Carol McCoy) to tell him that he's for sale if Benyon can get him out of prison. Benyon pulls some strings and Doc McCoy is released again. Unfortunately he has to cooperate with the same person that got him to prison.",14.214403,"United States of America, Japan",The Getaway,5.4,81.0,1994,Roger Donaldson
"Comedy, Drama",41006,English,"Morgan Leafy is a secretary to the British High Commissioner to an Africa nation. Leafy is a man that makes himself useful to his boss, the snobbish Arthur Fanshawe, who has no clue about what's going on around him, but who wants to use his secretary to carry on his dirty work, which involves getting one of the most powerful men in the country to do business with his country.The young secretary has an eye for beautiful women around him, especially Hazel, a native beauty, with whom he is having an affair. Things get complicated because Sam Adekunle, a man running for president of the country, wants a favor from Leafy in return after he has accepted the invitation to visit London. The proposition involves swaying a prominent doctor's opposition to a plan that will make Adenkule filthy rich.",5.22583,"United States of America, South Africa",A Good Man in Africa,5.2,11.0,1994,Bruce Beresford
"Action, Drama, History, War",31642,English,"Le Ly lives in a small Vietnamese village whose serenity is shattered when war breaks out. Caught between the Viet Cong and the South Vietnamese army, the village is all but destroyed. After being both brutalized and raped, Le Ly resolves to flee. She leaves for the city, surviving desperate situations, but surviving nonetheless. Eventually she meets a U.S. Marine named Steve Butler who treats her kindly and tells her he would like to be married -- maybe to her.",4.190541,"France, United States of America",Heaven & Earth,6.4,51.0,1993,Oliver Stone
"Comedy, Drama, Romance",10612,English,"When an English cartographer arrives in Wales to tell the residents of the Welsh village of Ffynnon Garw  that their ""mountain"" is only a hill, the offended community sets out to remedy the situation.  The film is based on a story heard by Christopher Monger from his grandfather about the real village of Taff's Well,  in the old county of Glamorgan, and its neighbouring Garth Hill. However, due to 20th century urbanisation of the area, it was filmed in the more rural Llanrhaeadr-ym-Mochnant and Llansilin areas in Powys.",5.331753,United Kingdom,The Englishman Who Went Up a Hill But Came Down a Mountain,6.1,83.0,1995,Christopher Monger
"Drama, Romance",2259,English,"A rancher, his clairvoyant wife and their family face turbulent years in South America.",10.687795,"Germany, France, United States of America, Denmark, Portugal",The House of the Spirits,6.7,135.0,1993,Bille August
Drama,7984,English,"A small time thief from Belfast, Gerry Conlon, is falsely implicated in the IRA bombing of a pub that kills several people while he is in London. He and his four friends are coerced by British police into confessing their guilt. Gerry's father and other relatives in London are also implicated in the crime. He spends fifteen years in prison with his father trying to prove his innocence.",7.405895,"United Kingdom, Ireland",In the Name of the Father,7.6,363.0,1993,Jim Sheridan
"Action, Crime, Thriller",6,English,"While racing to a boxing match, Frank, Mike, John and Rey get more than they bargained for. A wrong turn lands them directly in the path of Fallon, a vicious, wise-cracking drug lord. After accidentally witnessing Fallon murder a disloyal henchman, the four become his unwilling prey in a savage game of cat &amp; mouse as they are mercilessly stalked through the urban jungle in this taut suspense drama",5.538671,"United States of America, Japan",Judgment Night,6.4,79.0,1993,Stephen Hopkins
"Action, Drama, Crime, Thriller",507,English,"Zed (Eric Stoltz) is an American vault-cracker who travels to Paris to meet up with his old friend Eric (Jean-Hugues Anglade). Eric and his gang have planned to raid the only bank in the city which is open on Bastille day. After offering his services, Zed soon finds himself trapped in a situation beyond his control when heroin abuse, poor planning and a call-girl named Zoe all conspire to turn the robbery into a very bloody siege.",4.948569,"France, United States of America",Killing Zoe,6.1,111.0,1993,Roger Avary
Comedy,12121,English,"A young black woman discovers that her father was a sperm donor, and if that weren't bad enough, he's white.",5.43085,"France, United States of America",Made in America,5.3,86.0,1993,Richard Benjamin
"Drama, Romance",5879,Japanese,"Based on a true story set in pre-war Japan, a man and one of his servants begin a torrid affair. Their desire becomes a sexual obsession so strong that to intensify their ardor, they forsake all, even life itself.",8.932494,Japan,In the Realm of the Senses,6.5,112.0,1976,Nagisa Ōshima
"Comedy, Drama, Romance",11971,English,"In this Shakespearean farce, Hero and her groom-to-be, Claudio, team up with Claudio's commanding officer, Don Pedro, the week before their wedding to hatch a matchmaking scheme. Their targets are sharp-witted duo Benedick and Beatrice -- a tough task indeed, considering their corresponding distaste for love and each other. Meanwhile, meddling Don John plots to ruin the wedding.",8.62724,"United Kingdom, United States of America",Much Ado About Nothing,7.2,194.0,1993,Kenneth Branagh
"Comedy, Drama",21450,English,"Johnny flees Manchester for London, to avoid a beating from the family of a girl he has raped. There he finds an old girlfriend, and spends some time homeless, spending much of his time ranting at strangers, and meeting characters in plights very much like his own.",8.665198,United Kingdom,Naked,7.5,105.0,1993,Mike Leigh
"Drama, Romance",1245,English,A rule bound head butler's world of manners and decorum in the household he maintains is tested by the arrival of a housekeeper who falls in love with him in post-WWI Britain. The possibility of romance and his master's cultivation of ties with the Nazi cause challenge his carefully maintained veneer of servitude.,12.222576,"United Kingdom, United States of America",The Remains of the Day,7.5,213.0,1993,James Ivory
Comedy,8005,English,"Robin Hood comes home after fighting in the Crusades to learn that the noble King Richard is in exile and that the despotic King John now rules England, with the help of the Sheriff of Rottingham. Robin Hood assembles a band of fellow patriots to do battle with King John and the Sheriff.",17.136672,"France, United States of America",Robin Hood: Men in Tights,6.4,575.0,1993,Mel Brooks
"Action, Drama, Crime, Thriller",2088,English,A corrupt cop gets in over his head when he tries to assassinate a beautiful Russian hit-woman.,9.796318,"United Kingdom, United States of America",Romeo Is Bleeding,5.7,36.0,1993,Peter Medak
"Action, Drama, Thriller",10412,English,"Nazi skinheads in Melbourne take out their anger on local Vietnamese, who are seen as threatening racial purity. Finally the Vietnamese have had enough and confront the skinheads in an all-out confrontation, sending the skinheads running. A woman who is prone to epileptic seizures joins the skins' merry band, and helps them on their run from justice, but is her affliction also a sign of impurity?",5.157926,Australia,Romper Stomper,6.6,126.0,1992,Geoffrey Wright
Drama,41878,French,"Jean is young, gay, and promiscuous. Only after he meets one or two women, including Laura does he come to realize his bisexuality. Jean has to overcome a personal crisis and a tough choice between Laura and his male lover Samy.",1.031556,"France, Italy",Savage Nights,6.2,11.0,1992,Cyril Collard
Drama,103413,English,The difficult relationship between a british postal officer and his adoptive son.,0.882596,"United Kingdom, United States of America",Second Best,5.9,8.0,1994,Chris Menges
"Drama, Romance",10445,English,"C.S. Lewis, a world-renowned writer and professor, leads a passionless life until he meets spirited poet Joy Gresham",2.96586,United Kingdom,Shadowlands,6.8,61.0,1993,Richard Attenborough
"Comedy, Drama",12519,English,"In 1930s Australia, Anglican clergyman Anthony Campion and his prim wife, Estella, are asked to visit noted painter Norman Lindsay, whose planned contribution to an international art exhibit is considered blasphemous. While Campion and Lindsay debate, Estella finds herself drawn to the three beautiful models sitting for the painter's current work, freethinking Sheela, sensual Pru and virginal Giddy.",2.86213,"United Kingdom, Australia",Sirens,5.2,31.0,1993,John Duigan
